cycle,o_word
2537,0
2538,-0.015625
2539,0.015625
2540,-2
2541,-2
2542,-2
2543,-2
2544,-2
2545,0
2546,0.015625
2547,-0.015625
2548,1.984375
2549,-2
2550,0
2551,-0.015625
2552,0.015625
2553,0
2554,-0.015625
2555,0.015625
2556,1.8125
2557,1.984375
2558,1.984375
2559,1.984375
2560,1.984375
2561,0
2562,0.015625
2563,-0.015625
2564,1.984375
2565,-2
2566,0
2567,-0.015625
2568,0.015625
2569,0
2570,-0.015625
2571,0.015625
2572,-2
2573,-2
2574,-2
2575,-2
2576,-2
2577,0
2578,0.015625
2579,-0.015625
2580,1.984375
2581,-2
2582,0
2583,-0.015625
2584,0.015625
2585,0
2586,-0.015625
2587,0.015625
2588,1.984375
2589,1.984375
2590,1.984375
2591,1.984375
2592,1.984375
2593,0
2594,0.015625
2595,-0.015625
2596,1.984375
2597,-2
2598,0
2599,-0.015625
2600,0.015625
2601,0
2602,-0.015625
2603,0.015625
2604,-2
2605,-1.859375
2606,-1.28125
2607,-0.703125
2608,-0.125
2609,0
2610,0.015625
2611,-0.015625
2612,1.984375
2613,-2
2614,0
2615,-0.015625
2616,0.015625
2617,0
2618,-0.015625
2619,0.015625
2620,1.984375
2621,1.984375
2622,1.984375
2623,-2
2624,-2
2625,0
2626,0.015625
2627,-0.015625
2628,1.984375
2629,-2
2630,0
2631,-0.015625
2632,0.015625
2633,0
2634,-0.015625
2635,0.015625
2636,0.0625
2637,0.640625
2638,1.21875
2639,1.796875
2640,1.984375
2641,0
2642,0.015625
2643,-0.015625
2644,1.984375
2645,-2
2646,0
2647,-0.015625
2648,0.015625
2649,0
2650,-0.015625
2651,0.015625
2652,-2
2653,-2
2654,-2
2655,-2
2656,-2
2657,0
2658,0.015625
2659,-0.015625
2660,1.984375
2661,-2
2662,0
2663,-0.015625
2664,0.015625
2665,0
2666,-0.015625
2667,0.015625
2668,1.984375
2669,1.984375
2670,1.984375
2671,1.984375
2672,1.984375
2673,0
2674,0.015625
2675,-0.015625
2676,1.984375
2677,-2
2678,0
2679,-0.015625
2680,0.015625
2681,0
2682,-0.015625
2683,0.015625
2684,-2
2685,-2
2686,-2
2687,-2
2688,-1.875
2689,0
2690,0.015625
2691,-0.015625
2692,1.984375
2693,-2
2694,0
2695,-0.015625
2696,0.015625
2697,0
2698,-0.015625
2699,0.015625
2700,1.984375
2701,1.984375
2702,1.984375
2703,1.984375
2704,1.984375
2705,0
2706,0.015625
2707,-0.015625
2708,1.984375
2709,-2
2710,0
2711,-0.015625
2712,0.015625
2713,0
2714,-0.015625
2715,0.015625
2716,-1.6875
2717,-1.109375
2718,-0.53125
2719,0.046875
2720,0.625
2721,0
2722,0.015625
2723,-0.015625
2724,1.984375
2725,-2
2726,0
2727,-0.015625
2728,0.015625
2729,0
2730,-0.015625
2731,0.015625
2732,1.984375
2733,-2
2734,-2
2735,-2
2736,-2
2737,0
2738,0.015625
2739,-0.015625
2740,1.984375
2741,-2
2742,0
2743,-0.015625
2744,0.015625
2745,0
2746,-0.015625
2747,0.015625
2748,0.8125
2749,1.390625
2750,1.96875
2751,1.984375
2752,1.984375
2753,0
2754,0.015625
2755,-0.015625
2756,1.984375
2757,-2
2758,0
2759,-0.015625
2760,0.015625
2761,0
2762,-0.015625
2763,0.015625
2764,-2
2765,-2
2766,-2
2767,-2
2768,-2
2769,0
2770,0.015625
2771,-0.015625
2772,1.984375
2773,-2
2774,0
2775,-0.015625
2776,0.015625
2777,0
2778,-0.015625
2779,0.015625
2780,1.984375
2781,1.984375
2782,1.984375
2783,1.984375
2784,1.984375
2785,0
2786,0.015625
2787,-0.015625
2788,1.984375
2789,-2
2790,0
2791,-0.015625
2792,0.015625
2793,0
2794,-0.015625
2795,0.015625
2796,-2
2797,-2
2798,-2
2799,-1.703125
2800,-1.125
2801,0
2802,0.015625
2803,-0.015625
2804,1.984375
2805,-2
2806,0
2807,-0.015625
2808,0.015625
2809,0
2810,-0.015625
2811,0.015625
2812,1.984375
2813,1.984375
2814,1.984375
2815,1.984375
2816,-2
2817,0
2818,0.015625
2819,-0.015625
2820,1.984375
2821,-2
2822,0
2823,-0.015625
2824,0.015625
2825,0
2826,-0.015625
2827,0.015625
2828,-0.9375
2829,-0.359375
2830,0.21875
2831,0.796875
2832,1.375
2833,0
2834,0.015625
2835,-0.015625
2836,1.984375
2837,-2
2838,0
2839,-0.015625
2840,0.015625
2841,0
2842,-0.015625
2843,0.015625
2844,-2
2845,-2
2846,-2
2847,-2
2848,-2
2849,0
2850,0.015625
2851,-0.015625
2852,1.984375
2853,-2
2854,0
2855,-0.015625
2856,0.015625
2857,0
2858,-0.015625
2859,0.015625
2860,1.5625
2861,1.984375
2862,1.984375
2863,1.984375
2864,1.984375
2865,0
2866,0.015625
2867,-0.015625
2868,1.984375
2869,-2
2870,0
2871,-0.015625
2872,0.015625
2873,0
2874,-0.015625
2875,0.015625
2876,-2
2877,-2
2878,-2
2879,-2
2880,-2
2881,0
2882,0.015625
2883,-0.015625
2884,1.984375
2885,-2
2886,0
2887,-0.015625
2888,0.015625
2889,0
2890,-0.015625
2891,0.015625
2892,1.984375
2893,1.984375
2894,1.984375
2895,1.984375
2896,1.984375
2897,0
2898,0.015625
2899,-0.015625
2900,1.984375
2901,-2
2902,0
2903,-0.015625
2904,0.015625
2905,0
2906,-0.015625
2907,0.015625
2908,-2
2909,-2
2910,-1.53125
2911,-0.953125
2912,-0.375
2913,0
2914,0.015625
2915,-0.015625
2916,1.984375
2917,-2
2918,0
2919,-0.015625
2920,0.015625
2921,0
2922,-0.015625
2923,0.015625
2924,1.984375
2925,1.984375
2926,1.984375
2927,-2
2928,-2
2929,0
2930,0.015625
2931,-0.015625
2932,1.984375
2933,-2
2934,0
2935,-0.015625
2936,0.015625
2937,0
2938,-0.015625
2939,0.015625
2940,-0.1875
2941,0.390625
2942,0.96875
